Issuer Name,BSE Code,NSE Code,Sector Name,Industry Name,BSE/NSE Flag
ANTARIKSH INDUSTRIES LIMITED,501270,,Consumer Discretionary,Realty,N
Industrial Investment Trust Ltd.,501295,,Financial Services,Financial Services,N
Industrial & Prudential Inv. Co. Lt,501298,,Financial Services,Financial Services,N
Tata Investment Corporation Ltd.,501301,,Financial Services,Financial Services,N
Jayabharat Credit Ltd.,501311,,Financial Services,Financial Services,N
PRISMX GLOBAL VENTURES LIMITED,501314,,Services,Services,N
Motor & General Finance (M.G.F.) Lt,501343,,Services,Services,N
Rapid Investments Ltd.,501351,,Services,Services,N
Walchand Peoplefirst Limited,501370,,Services,Services,N
Swastik Safe Deposit & Invest. Ltd.,501386,,Financial Services,Financial Services,N
W.H. Brady & Co. Ltd.,501391,,Industrials,Capital Goods,N
TechNVision Ventures Limited,501421,,Information Technology,Information Technology,N
Shaily Engineering Plastics Ltd.,501423,,Industrials,Capital Goods,N
Bombay Burmah Trading Corpn. Ltd.,501425,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Bombay Cycle & Motor Agency Ltd.,501430,,Services,Services,N
Greaves Cotton Ltd.,501455,,Industrials,Capital Goods,N
Muller & Phipps (India) Ltd.,501477,,Services,Services,N
SPRINGFORM TECHNOLOGY LIMITED,501479,,Services,Services,N
Amalgamated Electricity Co. Ltd.,501622,,Services,Services,N
Anand Projects Ltd,501630,,Industrials,Construction,N
India Nivesh Limited,501700,,Financial Services,Financial Services,N
Coastal Corporation Limited,501831,COASTCORP,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Y
Chowgule Steamships Ltd.,501833,,Services,Services,N
Global Offshore Services Ltd,501848,,Services,Services,N
Dhenu Buildcon Infra Limited,501945,,Financial Services,Financial Services,N
ASI INDUSTRIES LIMITED,502015,,Commodities,Metals & Mining,N
Sagar Cements Ltd,502090,,Commodities,Construction Materials,N
Hemadri Cements Limited,502133,,Commodities,Construction Materials,N
Deccan Cements Ltd.,502137,,Commodities,Construction Materials,N
Mangalam Cement Ltd.,502157,,Commodities,Construction Materials,N
NCL Industries Limited,502168,NCLIND,Commodities,Construction Materials,Y
Saurashtra Cement Limited,502175,SAURASHCEM,Commodities,Construction Materials,Y
Shree Digvijay Cement Co. Ltd.,502180,,Commodities,Construction Materials,N
BOROSIL RENEWABLES LIMITED,502219,BORORENEW,Industrials,Capital Goods,Y
LERTHAI FINANCE LIMITED,502250,,Commodities,Construction Materials,N
Triveni Glass Ltd.,502281,,Commodities,Construction Materials,N
Nilachal Refractories Ltd.,502294,,Industrials,Capital Goods,N
ANDHRA PAPER LIMITED,502330,ANDHRAPAP,Commodities,Forest Materials,Y
